Date,All industries  [T001] 4,Goods-producing industries  [T002] 4,Service-producing industries  [T003] 4,Business sector industries  [T004],Non-business sector industries  [T007],Industrial production  [T010] 4,Non-durable manufacturing industries  [T011] 4,Durable manufacturing industries  [T012] 4,Information and communication technology sector  [T013] 4,Energy sector  [T016] 4,Industrial production (1950 definition)  [T017] 4,Public Sector  [T018] 4,Content and media sector  [T019] 4,All industries (except cannabis sector)  [T020] 4,Cannabis sector  [T021] 4,All industries (except unlicensed cannabis sector)  [T024] 4,"Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]",Utilities  [22],Construction  [23],Manufacturing  [31-33],Wholesale trade  [41],Retail trade  [44-45],Transportation and warehousing  [48-49],Information and cultural industries  [51],Finance and insurance  [52],Real estate and rental and leasing  [53],"Professional, scientific and technical services  [54]",Management of companies and enterprises  [55],"Administrative and support, waste management and remediation services  [56]",Educational services  [61],Health care and social assistance  [62],"Arts, entertainment and recreation  [71]",Accommodation and food services  [72],Other services (except public administration)  [81],Public administration  [91]
2017-06-01,"1,898,387","562,679","1,334,281","1,568,655","330,463","390,475","90,065","104,042","85,964","175,075","384,332","355,973","14,289","1,892,823","5,668","1,893,004","40,009","149,982","41,653","139,312","194,055","96,766","97,453","86,936","61,540","132,086","239,595","109,955","9,290","50,736","99,472","130,339","14,949","41,685","38,103","126,180"
2017-07-01,"1,901,643","565,304","1,335,062","1,570,814","331,514","392,043","89,648","103,636","85,947","176,438","385,845","357,031","14,222","1,896,071","5,676","1,896,284","40,144","152,875","41,866","140,246","193,231","96,940","96,930","86,363","61,631","131,852","239,868","110,358","9,112","50,715","99,622","130,728","15,020","41,824","38,136","126,702"
2017-08-01,"1,900,327","560,928","1,337,732","1,568,318","332,602","387,800","88,006","103,053","85,363","174,462","381,587","358,236","14,178","1,894,767","5,656","1,894,993","40,088","150,450","41,951","140,006","191,025","97,780","96,774","86,401","61,788","131,085","240,694","110,630","8,891","50,630","100,012","130,992","15,233","41,943","38,302","127,250"
2017-09-01,"1,903,852","563,456","1,338,876","1,570,644","333,748","388,796","88,382","102,784","86,318","176,466","382,632","359,363","14,137","1,898,302","5,607","1,898,523","40,141","150,389","42,801","141,337","191,121","97,335","96,158","86,777","61,962","130,690","241,666","111,047","8,608","50,288","100,562","131,108","15,200","41,978","38,387","127,721"
2017-10-01,"1,907,305","563,270","1,342,372","1,573,983","333,897","386,347","88,766","104,150","86,645","171,653","380,240","359,422","13,986","1,901,811","5,518","1,901,997","40,003","146,026","41,799","143,345","192,882","98,896","98,702","85,940","61,987","131,163","242,478","110,854","8,332","49,915","100,518","131,188","15,174","41,823","38,384","127,747"
2017-11-01,"1,916,041","568,690","1,345,947","1,582,023","334,639","391,033","89,557","105,980","87,657","173,967","385,050","360,187","13,941","1,910,469","5,565","1,910,693","40,134","147,440","42,428","143,961","195,513","99,710","98,014","86,431","62,195","131,771","243,491","111,339","7,988","49,887","100,904","131,483","15,245","41,965","38,392","127,834"
2017-12-01,"1,922,738","570,190","1,351,058","1,587,526","335,812","393,053","89,845","105,510","88,679","178,353","387,018","361,540","13,984","1,916,991","5,738","1,917,321","40,110","149,628","42,918","143,639","195,316","99,925","97,116","85,887","62,631","132,642","245,709","112,704","7,706","50,287","101,601","132,056","15,259","41,803","38,505","127,927"
2018-01-01,"1,922,784","568,653","1,352,481","1,585,632","337,585","391,877","90,618","105,528","89,370","176,953","385,692","363,486","13,910","1,916,838","6,006","1,917,408","40,256","147,056","42,746","143,398","196,138","98,656","97,742","86,571","62,580","132,563","244,517","112,738","7,711","50,834","102,105","132,996","15,232","41,919","38,474","128,430"
2018-02-01,"1,930,694","573,717","1,355,531","1,592,532","338,584","395,865","90,515","106,357","90,219","179,157","389,560","364,403","14,150","1,924,611","6,169","1,925,191","40,386","153,047","41,381","144,484","196,848","98,802","98,099","87,011","63,083","133,265","243,861","113,370","7,412","51,014","102,345","133,293","15,358","41,907","38,489","128,811"
2018-03-01,"1,935,532","578,298","1,356,030","1,596,437","339,514","400,562","90,323","107,563","90,694","183,723","394,156","365,486","14,019","1,929,410","6,252","1,929,991","40,177","156,633","42,010","144,767","197,836","99,616","97,907","86,537","63,222","131,767","244,082","113,960","7,211","51,109","102,620","133,642","15,183","41,912","38,507","129,266"
2018-04-01,"1,937,496","578,598","1,357,693","1,597,115","340,766","400,359","89,692","109,577","90,893","179,919","393,903","366,795","13,934","1,931,369","6,282","1,931,951","40,366","154,250","42,077","145,095","199,182","99,445","97,239","86,554","63,240","131,458","245,120","114,368","6,977","51,300","103,013","134,024","15,129","41,938","38,506","129,804"
2018-05-01,"1,948,948","578,866","1,368,640","1,607,341","342,048","400,044","89,169","107,562","91,361","180,824","393,477","368,266","14,094","1,942,794","6,331","1,943,337","40,418","157,683","41,900","145,671","196,659","102,335","100,478","86,984","63,700","132,553","245,801","114,685","6,812","51,545","103,295","134,550","15,346","42,126","38,535","130,464"
2018-06-01,"1,950,488","580,294","1,368,830","1,608,022","342,892","402,985","92,042","107,930","91,850","182,750","396,306","369,237","14,139","1,944,257","6,433","1,944,771","40,320","156,181","42,139","144,542","199,939","100,553","99,551","87,163","64,028","132,093","246,885","115,122","6,637","51,852","103,495","134,949","15,310","42,322","38,512","130,833"
2018-07-01,"1,957,338","582,520","1,373,473","1,614,369","343,456","406,282","92,387","107,280","92,319","186,060","399,533","370,001","14,262","1,951,038","6,578","1,951,493","40,083","159,156","43,250","143,915","199,648","101,261","99,709","87,544","64,563","132,340","247,816","115,480","6,539","52,017","103,551","135,247","15,108","42,891","38,648","131,238"
2018-08-01,"1,961,105","581,202","1,378,396","1,617,634","344,022","405,987","91,933","107,094","93,217","187,190","399,180","370,693","14,088","1,954,802","6,628","1,955,281","40,010","159,319","43,482","143,080","199,003","101,565","100,761","87,790","64,770","133,895","248,363","115,795","6,444","52,188","103,719","135,490","15,087","42,817","38,751","131,518"
2018-09-01,"1,963,911","579,916","1,382,331","1,620,341","344,179","405,501","92,777","107,169","93,535","184,440","398,612","371,045","13,974","1,957,637","6,575","1,958,187","39,793","157,101","43,569","142,591","199,934","101,726","101,453","88,721","64,992","134,264","248,890","115,899","6,370","52,600","103,792","135,735","15,417","42,846","38,661","131,549"
2018-10-01,"1,967,946","580,486","1,385,792","1,624,079","344,552","406,899","90,849","108,977","93,999","186,591","399,929","371,567","14,140","1,961,789","6,484","1,962,461","39,523","158,383","44,031","142,176","199,760","101,978","101,604","88,457","65,357","135,824","249,121","116,285","6,282","52,745","103,786","135,934","15,538","43,000","38,655","131,874"
2018-11-01,"1,963,948","576,811","1,385,302","1,619,962","344,683","404,253","91,425","107,898","94,355","184,576","397,142","371,930","14,137","1,957,926","6,338","1,958,671","39,610","155,083","44,304","141,214","199,283","100,959","101,220","88,092","65,667","134,895","249,303","116,761","6,222","53,320","103,884","136,104","15,648","43,127","38,712","131,967"
2018-12-01,"1,964,898","572,475","1,390,249","1,621,056","344,623","400,302","90,702","107,485","94,660","180,397","393,098","372,355","14,197","1,959,021","6,196","1,959,794","39,610","152,732","43,491","140,839","198,142","101,792","101,249","88,996","66,098","135,055","249,401","118,213","6,191","53,176","103,887","136,428","15,892","43,507","38,882","132,058"
2019-01-01,"1,966,439","570,999","1,393,110","1,622,084","345,155","397,665","90,365","108,431","95,553","178,245","390,372","373,039","14,264","1,959,988","6,890","1,961,406","40,465","147,840","44,036","141,177","198,733","101,748","101,287","89,510","66,547","135,381","250,735","118,073","6,053","53,117","104,139","136,354","15,927","43,409","38,775","132,575"
2019-02-01,"1,962,946","570,410","1,390,234","1,618,331","345,336","397,702","89,752","108,749","96,319","178,944","390,401","373,354","14,217","1,956,664","6,660","1,957,953","40,378","147,707","44,423","140,696","198,439","102,256","100,698","88,009","66,924","134,399","249,634","118,390","5,972","53,005","104,247","136,554","15,992","43,336","38,833","132,579"
2019-03-01,"1,974,072","575,897","1,396,058","1,628,875","345,997","402,497","90,156","109,546","96,668","181,282","395,255","373,984","14,204","1,967,587","7,012","1,969,091","40,501","152,736","43,955","141,303","199,640","103,872","101,636","88,861","67,226","135,281","249,998","118,542","5,839","52,700","104,692","136,565","16,114","43,836","38,875","132,770"
2019-04-01,"1,984,086","583,355","1,399,007","1,638,782","346,202","409,326","90,665","108,019","96,751","188,751","402,068","374,008","14,315","1,977,274","7,571","1,979,128","40,862","163,348","43,380","141,773","198,629","104,551","101,166","89,990","67,590","135,463","251,295","118,998","5,769","52,323","104,781","136,491","15,963","43,774","38,840","132,785"
2019-05-01,"1,991,679","586,863","1,403,162","1,645,999","346,597","410,657","91,249","110,875","97,195","187,526","403,511","374,336","14,326","1,984,612","7,972","1,986,726","41,111","160,396","43,419","143,490","202,066","104,555","101,593","91,045","67,950","135,932","252,748","119,035","5,668","52,266","104,840","136,570","16,017","43,924","38,856","132,971"
2019-06-01,"1,995,768","586,133","1,407,744","1,649,832","346,814","407,385","90,069","109,484","98,661","187,799","400,272","374,803","14,395","1,988,573","8,091","1,990,803","41,373","159,794","43,480","145,461","199,498","105,734","102,265","90,909","68,418","136,001","253,673","119,902","5,565","52,238","104,801","137,093","16,102","44,161","38,861","132,942"
2019-07-01,"1,996,463","581,853","1,412,254","1,649,325","347,886","401,223","89,443","109,274","98,480","182,794","394,198","376,155","14,267","1,989,045","8,419","1,991,505","41,238","153,493","43,438","147,049","198,662","106,176","102,315","90,874","68,634","136,392","254,895","120,760","5,409","52,510","105,388","137,563","16,067","44,022","38,934","133,237"
2019-08-01,"1,996,572","580,969","1,413,079","1,649,194","348,029","401,481","89,369","109,466","99,346","182,897","394,447","376,693","14,228","1,989,054","8,468","1,991,602","41,113","154,299","42,983","146,126","198,780","103,625","102,263","91,357","69,000","137,346","255,255","121,496","5,255","52,625","105,303","138,069","16,036","44,043","38,866","133,343"
2019-09-01,"1,999,283","581,130","1,415,511","1,651,832","348,066","401,112","89,745","108,289","99,755","183,845","394,041","376,879","14,235","1,991,688","8,475","1,994,313","40,875","154,310","43,377","146,831","197,982","105,708","102,209","90,517","69,172","137,712","255,938","121,471","5,070","52,707","105,550","138,283","16,200","44,105","38,775","133,073"
2019-10-01,"2,000,634","581,048","1,416,799","1,651,888","349,184","400,918","90,408","106,582","99,974","184,690","393,727","378,019","14,213","1,992,190","9,768","1,995,655","41,778","154,265","44,116","146,257","196,943","104,372","101,183","90,967","69,725","138,575","256,304","121,856","4,918","52,772","105,564","138,779","16,398","43,907","38,656","133,688"
2019-11-01,"2,000,233","578,769","1,418,371","1,650,960","349,548","398,120","90,246","107,002","101,067","182,311","390,880","378,632","14,225","1,992,068","9,059","1,995,230","41,188","150,054","44,358","147,202","197,200","103,543","101,558","90,354","69,974","139,167","256,417","122,717","4,760","52,911","105,523","139,391","16,316","44,172","38,700","133,715"
2019-12-01,"2,007,421","577,702","1,426,219","1,656,738","350,850","396,826","89,841","105,563","101,535","184,452","389,556","380,298","14,123","1,999,481","8,491","2,002,400","40,758","151,594","43,891","147,775","195,356","105,400","103,283","91,555","70,096","140,395","256,632","122,900","4,642","52,842","105,820","140,172","16,392","44,111","38,665","134,290"
2020-01-01,"2,010,802","581,300","1,426,092","1,658,520","352,238","398,464","89,824","103,105","100,845","185,329","391,206","381,735","14,035","2,002,579","8,678","2,005,700","40,734","157,696","43,404","149,625","192,884","106,103","103,353","90,445","70,135","140,461","256,690","122,646","4,520","52,740","105,973","140,788","16,152","43,518","38,631","134,945"
2020-02-01,"2,014,964","584,207","1,427,691","1,662,430","352,697","401,292","89,746","104,925","100,813","186,473","393,978","382,595","14,147","2,006,881","8,774","2,010,047","40,743","158,525","43,565","149,812","194,624","106,147","103,022","89,255","70,147","141,370","257,456","123,610","4,436","52,666","105,574","141,501","16,112","43,208","38,738","135,460"
2020-03-01,"1,863,478","554,495","1,307,570","1,533,027","330,390","375,445","86,782","90,540","97,649","180,177","368,641","353,973","12,055","1,855,700","8,846","1,858,776","40,614","151,449","43,128","145,210","177,292","99,129","90,952","77,427","66,859","137,888","253,514","109,715","4,244","44,419","96,242","129,242","10,911","27,230","33,477","128,413"
2020-04-01,"1,662,008","473,248","1,185,678","1,348,671","312,068","321,991","75,085","66,118","97,685","170,386","315,675","327,109","9,391","1,654,675","8,759","1,657,622","40,148","136,174","42,417","118,278","141,198","81,243","73,512","61,195","64,297","139,868","245,352","107,735","4,139","37,868","87,304","114,641","6,594","15,074","24,373","125,140"
2020-05-01,"1,735,686","507,804","1,225,991","1,414,380","320,500","339,269","79,867","76,142","97,949","165,934","332,863","336,665","9,347","1,728,287","8,840","1,731,287","41,017","137,255","42,435","133,884","155,993","86,254","87,522","62,017","64,305","140,257","248,680","109,214","4,011","38,895","93,456","117,678","6,366","17,897","26,949","125,651"
2020-06-01,"1,836,134","534,297","1,299,656","1,508,858","327,410","355,398","83,516","90,824","98,778","161,344","348,579","351,263","10,034","1,828,549","9,079","1,831,686","41,624","131,156","42,863","143,648","174,301","100,126","103,001","67,804","65,203","141,854","255,306","112,691","3,877","43,035","95,337","127,851","6,739","22,899","29,328","128,006"
2020-07-01,"1,883,201","542,550","1,337,958","1,545,761","337,508","365,735","86,637","95,223","99,960","160,101","358,862","364,339","10,810","1,875,561","9,145","1,878,739","41,852","132,448","43,674","141,898","181,812","105,345","102,280","70,136","66,019","142,786","260,620","115,469","3,701","43,828","99,484","134,367","7,707","26,904","31,818","130,400"
2020-08-01,"1,901,415","543,824","1,354,565","1,559,064","342,376","365,577","86,614","98,332","100,832","154,949","358,677","369,392","12,010","1,893,827","9,128","1,896,958","42,079","129,763","42,481","143,025","184,902","105,838","102,195","70,104","67,214","143,418","261,947","117,481","3,548","45,637","101,915","136,170","8,297","29,237","33,052","131,267"
2020-09-01,"1,918,805","548,441","1,367,294","1,573,375","345,507","370,193","88,059","98,002","100,763","159,430","363,252","372,763","12,295","1,911,257","9,025","1,914,329","42,154","134,920","41,768","143,129","186,020","106,261","104,486","71,263","67,555","143,971","263,362","119,122","3,422","46,585","102,586","137,417","8,420","29,174","33,655","132,701"
2020-10-01,"1,930,273","551,747","1,375,440","1,583,223","347,206","371,996","89,233","97,018","102,278","163,865","364,978","375,507","12,503","1,922,512","9,367","1,925,762","42,218","135,996","42,313","144,562","186,215","106,519","105,869","72,885","68,049","145,921","262,292","121,042","3,357","47,213","102,742","138,776","8,620","26,994","33,988","133,899"
2020-11-01,"1,943,992","558,747","1,382,396","1,596,347","347,968","379,958","90,808","99,084","103,216","167,195","372,836","376,723","12,379","1,936,068","9,620","1,939,446","42,020","141,135","42,045","144,176","189,853","106,881","106,835","73,909","68,278","147,755","261,963","122,149","3,240","47,745","102,926","139,598","8,351","27,134","34,273","134,095"
2020-12-01,"1,948,654","564,056","1,382,061","1,599,100","349,804","383,534","89,537","98,775","102,772","170,405","376,361","378,888","12,330","1,940,408","10,083","1,944,016","41,705","147,547","42,103","146,177","188,270","106,426","103,293","75,032","68,315","148,099","264,270","121,986","3,165","48,201","103,473","140,371","8,183","24,475","34,298","134,939"
2021-01-01,"1,957,148","569,386","1,385,424","1,606,063","351,339","387,440","90,177","100,316","105,187","173,384","380,390","380,783","12,252","1,948,961","9,912","1,952,447","41,218","149,978","41,809","147,899","190,451","107,865","100,780","74,987","68,261","148,523","265,100","122,738","3,107","48,442","103,920","141,569","8,115","24,832","34,324","135,175"
2021-02-01,"1,961,960","566,427","1,392,764","1,608,964","353,088","382,357","88,259","98,905","103,782","173,137","375,378","382,578","12,295","1,953,762","9,790","1,957,227","40,794","147,759","42,192","149,994","187,121","106,265","107,635","73,415","68,335","149,182","265,499","122,936","3,088","47,647","104,345","142,503","8,143","26,286","34,446","135,602"
2021-03-01,"1,980,323","571,274","1,406,175","1,623,348","356,883","384,604","89,350","99,928","103,336","172,557","377,614","386,303","12,441","1,971,951","10,010","1,975,578","40,246","148,052","41,914","152,918","189,237","108,446","111,342","74,075","68,370","148,875","265,849","123,047","3,012","47,253","105,913","143,324","8,288","29,650","34,373","136,971"
2021-04-01,"1,960,536","568,345","1,389,551","1,606,311","353,975","377,963","88,811","96,676","103,468","169,885","370,991","383,423","12,320","1,952,154","10,038","1,955,860","40,048","146,038","41,215","156,278","185,450","108,596","103,136","73,288","68,220","147,450","265,988","122,526","2,928","47,263","101,609","144,280","8,067","26,558","34,597","137,257"
2021-05-01,"1,950,246","562,365","1,384,968","1,592,395","357,139","377,965","88,048","96,724","103,617","171,948","371,046","386,466","12,453","1,941,776","10,171","1,945,637","39,674","145,829","42,080","151,080","184,733","107,095","100,066","72,589","68,390","147,246","265,430","122,347","2,859","46,743","104,204","144,908","8,076","25,353","34,543","137,156"
2021-06-01,"1,966,023","566,680","1,396,348","1,605,557","359,718","385,487","89,268","98,581","103,728","176,984","378,592","389,010","12,528","1,957,407","10,380","1,961,451","39,319","148,679","43,653","148,654","187,808","103,932","105,234","72,610","68,763","147,804","265,408","122,835","2,779","46,641","105,221","145,344","8,635","29,955","34,872","138,269"
2021-07-01,"1,976,370","563,218","1,409,559","1,613,980","361,618","385,508","89,550","96,677","104,612","176,747","378,516","391,049","12,842","1,967,666","10,506","1,971,874","37,778","152,755","42,289","146,884","186,194","103,113","104,983","74,545","69,577","149,146","265,802","124,026","2,771","47,120","106,524","145,854","9,530","34,067","35,719","138,530"
2021-08-01,"1,987,967","562,679","1,421,339","1,625,574","361,768","386,380","90,076","96,728","105,337","178,196","379,326","391,033","13,420","1,979,265","10,439","1,983,542","35,926","153,155","42,165","147,261","186,766","103,878","106,929","76,458","70,562","150,360","266,159","124,812","2,715","47,505","107,283","145,938","10,324","36,387","36,225","137,699"
2021-09-01,"1,994,605","561,038","1,429,275","1,630,355","363,593","385,264","89,311","94,959","106,247","180,396","378,120","393,143","13,344","1,985,816","10,574","1,990,260","35,584","155,303","42,028","147,136","184,237","105,399","106,098","77,088","70,747","151,196","266,751","126,732","2,694","47,635","107,455","146,042","10,974","36,236","36,581","139,526"
2021-10-01,"2,010,389","570,088","1,436,432","1,647,166","362,893","391,716","90,615","98,149","107,735","180,762","384,582","392,467","13,514","2,001,441","10,810","2,006,137","36,199","156,957","42,182","149,150","188,726","107,312","107,034","78,052","71,349","151,778","268,065","127,745","2,618","47,808","107,747","146,046","11,749","35,828","36,862","138,573"
2021-11-01,"2,019,838","569,741","1,445,976","1,655,746","363,927","389,973","91,157","99,766","108,964","177,515","382,785","393,454","13,578","2,010,916","10,818","2,015,720","37,598","152,395","41,781","149,218","190,879","110,104","107,522","78,872","72,004","152,717","268,536","128,591","2,556","48,123","108,057","146,124","12,281","36,579","37,035","139,181"
2021-12-01,"2,022,291","571,835","1,446,501","1,657,853","364,387","391,451","91,982","99,947","110,059","177,369","384,204","394,307","13,741","2,013,309","10,956","2,018,299","39,416","151,548","42,624","148,308","191,890","110,927","104,413","79,181","72,398","153,167","268,825","129,361","2,509","48,624","108,222","146,388","11,810","36,077","37,179","139,601"
2022-01-01,"2,017,871","576,262","1,438,234","1,655,073","362,948","393,240","92,307","101,148","110,811","179,174","385,998","392,820","13,436","2,008,909","10,932","2,014,029","39,671","149,116","44,402","150,545","193,415","111,017","106,524","76,243","71,975","152,673","269,712","129,823","2,458","48,523","107,416","146,168","10,443","31,109","37,541","139,118"
2022-02-01,"2,031,576","579,855","1,448,379","1,666,633","365,134","394,937","92,413","102,209","111,160","179,331","387,638","394,894","13,710","2,022,668","10,961","2,027,657","40,040","151,570","43,012","152,055","194,581","108,901","106,699","78,558","72,217","152,447","270,572","130,743","2,411","48,791","107,529","146,998","11,064","35,430","37,842","140,229"
2022-03-01,"2,045,190","585,396","1,456,559","1,680,253","365,254","398,754","93,524","104,022","111,666","180,055","391,435","395,350","13,500","2,036,187","11,133","2,041,161","40,517","152,474","42,879","153,350","197,503","108,565","106,945","80,510","72,303","153,106","269,643","131,954","2,396","49,284","107,486","147,352","12,203","38,263","38,073","140,364"
2022-04-01,"2,046,665","586,780","1,456,735","1,680,770","366,130","402,278","92,323","105,508","112,293","183,138","394,944","396,206","13,486","2,037,657","11,178","2,042,570","40,926","155,810","43,303","151,154","197,783","107,641","106,660","81,727","72,235","152,830","267,342","132,343","2,264","49,426","108,167","147,495","12,933","38,663","38,312","140,417"
2022-05-01,"2,052,456","585,212","1,463,769","1,684,803","367,765","400,759","91,438","104,731","112,995","182,104","393,381","398,035","13,582","2,043,346","11,341","2,048,265","41,533","156,703","42,912","150,582","196,123","108,121","107,893","83,472","72,409","152,574","266,785","133,068","2,136","49,650","108,854","147,921","13,392","39,320","38,663","141,146"
2022-06-01,"2,057,399","588,314","1,465,691","1,688,103","369,295","402,794","91,064","105,912","113,519","182,362","395,377","399,768","13,611","2,048,266","11,332","2,053,112","42,316","157,921","43,019","150,976","196,925","107,660","107,516","84,070","72,666","151,777","266,412","133,296","2,046","49,722","109,729","148,360","13,493","39,876","38,973","141,585"
2022-07-01,"2,059,797","589,823","1,466,586","1,689,510","370,167","403,942","91,168","104,630","115,160","185,009","396,531","400,820","13,594","2,050,612","11,302","2,055,417","43,403","160,463","43,347","150,396","195,752","106,562","106,699","83,639","73,000","152,091","266,312","134,665","2,006","49,757","109,836","148,887","13,451","39,825","39,249","141,992"
2022-08-01,"2,064,750","591,297","1,469,997","1,693,330","371,202","403,834","91,248","104,147","115,459","185,804","396,460","401,796","13,651","2,055,440","11,429","2,060,265","44,796","159,047","44,641","150,605","195,347","106,765","107,372","83,370","73,178","151,850","266,546","135,558","1,958","49,823","109,665","149,353","13,655","40,160","39,462","142,653"
2022-09-01,"2,067,195","591,293","1,472,290","1,695,101","371,774","404,284","91,145","104,492","116,037","186,181","396,929","402,476","13,761","2,057,787","11,438","2,062,619","44,836","160,626","43,727","150,148","195,590","106,464","106,793","84,228","73,392","152,285","266,598","136,236","1,883","49,940","109,944","150,034","13,668","40,181","39,556","142,367"
2022-10-01,"2,067,700","587,934","1,475,763","1,693,365","373,794","399,561","90,336","103,497","116,341","183,731","392,195","404,476","13,695","2,058,145","11,574","2,063,040","44,711","158,324","42,975","151,378","193,786","107,407","106,767","85,050","73,209","151,832","266,591","136,360","1,835","49,870","110,062","150,651","13,851","40,245","39,562","143,616"
2022-11-01,"2,070,266","589,071","1,477,114","1,694,174","375,368","400,803","89,430","104,754","115,893","183,667","393,432","405,986","13,623","2,060,576","11,605","2,065,500","44,333","158,931","43,281","151,651","194,134","106,270","105,881","85,826","73,178","152,770","266,850","136,221","1,796","50,009","110,434","151,130","13,941","39,915","39,603","144,276"
2022-12-01,"2,068,372","584,131","1,479,648","1,691,101","376,329","396,925","89,405","104,555","115,990","180,335","389,579","407,230","13,441","2,058,573","11,566","2,063,507","43,980","154,293","43,412","150,853","193,909","106,071","107,255","84,955","72,869","152,242","267,456","136,968","1,757","50,018","110,848","151,561","13,965","40,204","39,748","144,679"
2023-01-01,"2,081,002","586,586","1,489,601","1,702,449","377,605","399,147","89,241","106,608","115,802","180,870","391,738","408,384","13,398","2,071,139","11,451","2,076,063","43,392","155,437","42,692","151,691","195,797","108,483","109,117","86,107","72,921","152,942","267,708","137,413","1,688","50,202","111,199","151,840","14,349","41,700","39,767","145,206"
2023-02-01,"2,082,338","586,204","1,491,341","1,702,732","378,724","401,141","88,152","107,963","116,295","182,705","393,715","409,725","13,555","2,072,725","11,173","2,077,543","42,740","157,262","42,871","150,154","196,058","107,982","108,669","86,198","73,400","152,903","268,335","137,789","1,643","50,397","111,690","152,228","14,029","41,562","39,829","145,676"
2023-03-01,"2,082,794","587,439","1,490,815","1,702,390","379,603","402,818","89,135","107,070","115,576","184,850","395,400","410,723","13,550","2,073,448","10,946","2,078,203","42,171","159,184","42,893","150,280","196,150","106,694","107,394","86,572","73,547","153,056","269,035","138,015","1,615","50,329","111,927","152,518","14,157","40,724","39,935","146,148"
2023-04-01,"2,080,836","586,836","1,489,552","1,702,156","378,083","402,599","88,430","106,928","116,006","185,881","395,149","409,083","13,637","2,071,666","10,841","2,076,383","41,600","160,042","42,882","150,444","195,303","105,013","107,506","86,780","73,840","152,662","270,272","138,153","1,572","50,352","112,095","152,634","14,294","40,928","40,075","144,232"
2023-05-01,"2,085,316","584,635","1,496,024","1,703,998","380,696","402,693","89,739","109,188","115,744","182,051","395,267","411,556","13,641","2,076,294","10,772","2,081,003","40,806","155,595","42,707","149,008","198,870","107,751","107,978","86,975","73,896","152,559","271,410","138,204","1,513","50,169","112,360","152,709","14,524","40,575","39,984","146,367"
2023-06-01,"2,081,904","582,802","1,494,461","1,699,736","381,511","402,499","89,495","108,872","116,497","183,080","395,073","412,463","13,487","2,072,937","10,802","2,077,686","40,187","156,788","42,240","148,043","198,312","105,771","107,389","86,452","73,791","152,648","272,264","138,399","1,466","50,091","112,484","152,964","14,518","40,121","40,019","146,892"
2023-07-01,"2,081,768","580,590","1,496,339","1,698,651","382,389","401,485","88,643","107,516","115,563","183,808","394,053","413,523","13,144","2,072,771","10,852","2,077,582","39,009","158,607","42,186","147,940","196,105","106,173","107,270","86,369","73,052","152,974","272,559","138,181","1,457","50,065","112,661","153,323","14,635","40,912","39,993","147,411"
2023-08-01,"2,082,521","579,356","1,498,194","1,698,729","383,027","401,356","87,748","107,291","115,650","183,722","393,915","414,200","12,683","2,073,439","10,999","2,078,367","37,759","160,552","41,777","148,011","194,984","108,593","106,549","87,088","72,534","153,609","272,428","137,974","1,415","49,861","112,644","153,680","14,672","40,174","39,964","147,738"
